Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Multiple carriers,2019-06-24,Delhi,Cochin,2025-04-26 09:15:00,2025-04-26 19:15:00,600,1.0,No info,8099
IndiGo,2019-04-12,Banglore,Delhi,2025-04-26 04:00:00,2025-04-26 06:50:00,170,0.0,No info,4423
Air Asia,2019-03-03,Kolkata,Banglore,2025-04-26 19:35:00,2025-04-26 22:05:00,150,0.0,No info,5964
Jet Airways,2019-06-27,Delhi,Cochin,2025-04-26 13:25:00,2025-06-28 19:00:00,1775,2.0,In-flight meal not included,11150
Air India,2019-05-27,Delhi,Cochin,2025-04-26 13:30:00,2025-04-26 23:00:00,570,1.0,No info,8907
IndiGo,2019-05-09,Delhi,Cochin,2025-04-26 08:35:00,2025-04-26 22:30:00,835,1.0,No info,6734
Jet Airways,2019-05-21,Delhi,Cochin,2025-04-26 14:00:00,2025-04-26 19:00:00,300,1.0,In-flight meal not included,12898
GoAir,2019-06-09,Delhi,Cochin,2025-04-26 07:30:00,2025-04-26 13:35:00,365,1.0,No info,6276
Air India,2019-03-09,Banglore,New Delhi,2025-04-26 06:50:00,2025-03-13 08:50:00,1560,1.0,No info,5626
IndiGo,2019-04-12,Kolkata,Banglore,2025-04-26 20:20:00,2025-04-26 22:55:00,155,0.0,No info,4488
IndiGo,2019-03-15,Chennai,Kolkata,2025-04-26 11:35:00,2025-04-26 14:00:00,145,0.0,No info,6297
Vistara,2019-05-18,Kolkata,Banglore,2025-04-26 07:10:00,2025-04-26 20:20:00,790,1.0,No info,9345
Jet Airways,2019-06-03,Delhi,Cochin,2025-04-26 16:00:00,2025-06-04 19:00:00,1620,1.0,In-flight meal not included,10262
Air India,2019-06-21,Banglore,Delhi,2025-04-26 17:00:00,2025-04-26 19:45:00,165,0.0,No info,7171
Jet Airways,2019-06-09,Banglore,Delhi,2025-04-26 19:50:00,2025-04-26 22:50:00,180,0.0,In-flight meal not included,7229
Jet Airways,2019-05-12,Banglore,Delhi,2025-04-26 11:10:00,2025-04-26 14:05:00,175,0.0,In-flight meal not included,5198
Multiple carriers,2019-06-27,Delhi,Cochin,2025-04-26 10:00:00,2025-04-26 21:00:00,660,1.0,No info,7408
Multiple carriers,2019-05-06,Delhi,Cochin,2025-04-26 19:00:00,2025-05-07 01:30:00,390,1.0,No info,8073
IndiGo,2019-03-03,Delhi,Cochin,2025-04-26 02:05:00,2025-04-26 07:25:00,320,1.0,No info,10394
Air India,2019-04-01,Kolkata,Banglore,2025-04-26 16:45:00,2025-04-02 23:15:00,1830,3.0,No info,8607
Air Asia,2019-04-09,Banglore,Delhi,2025-04-26 04:55:00,2025-04-26 07:45:00,170,0.0,No info,4282
Air India,2019-05-06,Kolkata,Banglore,2025-04-26 12:00:00,2025-05-07 07:55:00,1195,2.0,No info,10151
IndiGo,2019-06-15,Delhi,Cochin,2025-04-26 15:10:00,2025-04-26 20:00:00,290,1.0,No info,6147
Multiple carriers,2019-06-09,Delhi,Cochin,2025-04-26 17:00:00,2025-06-10 01:30:00,510,1.0,No info,7408
Air India,2019-05-21,Delhi,Cochin,2025-04-26 20:00:00,2025-05-22 19:15:00,1395,2.0,No info,10861
Air India,2019-06-09,Delhi,Cochin,2025-04-26 20:40:00,2025-06-10 09:25:00,765,1.0,No info,7690
Air India,2019-05-06,Mumbai,Hyderabad,2025-04-26 06:20:00,2025-04-26 07:40:00,80,0.0,No info,3625
IndiGo,2019-05-18,Banglore,Delhi,2025-04-26 10:10:00,2025-04-26 13:00:00,170,0.0,No info,3943
Jet Airways,2019-06-27,Delhi,Cochin,2025-04-26 21:50:00,2025-06-28 12:35:00,885,1.0,In-flight meal not included,10262
Multiple carriers,2019-03-27,Delhi,Cochin,2025-04-26 08:55:00,2025-04-26 19:15:00,620,1.0,No info,8371
IndiGo,2019-05-21,Delhi,Cochin,2025-04-26 07:15:00,2025-04-26 12:30:00,315,1.0,No info,5636
Jet Airways,2019-03-21,Delhi,Cochin,2025-04-26 18:25:00,2025-03-23 04:25:00,2040,2.0,No info,12347
SpiceJet,2019-05-06,Kolkata,Banglore,2025-04-26 11:15:00,2025-04-26 18:30:00,435,1.0,No info,9736
Multiple carriers,2019-03-21,Delhi,Cochin,2025-04-26 09:45:00,2025-04-26 21:20:00,695,2.0,No info,7178
Jet Airways,2019-06-15,Delhi,Cochin,2025-04-26 20:55:00,2025-06-16 12:35:00,940,1.0,In-flight meal not included,10262
Air India,2019-05-24,Kolkata,Banglore,2025-04-26 20:30:00,2025-05-25 20:25:00,1435,1.0,No info,10413
Multiple carriers,2019-06-01,Delhi,Cochin,2025-04-26 10:20:00,2025-04-26 19:15:00,535,1.0,No info,9526
Air India,2019-03-03,Delhi,Cochin,2025-04-26 05:00:00,2025-03-04 19:15:00,2295,2.0,No info,10283
SpiceJet,2019-06-18,Mumbai,Hyderabad,2025-04-26 05:45:00,2025-04-26 07:15:00,90,0.0,No check-in baggage included,2647
GoAir,2019-03-01,Banglore,New Delhi,2025-04-26 15:45:00,2025-04-26 20:15:00,270,1.0,No info,12314
Vistara,2019-05-18,Banglore,Delhi,2025-04-26 17:00:00,2025-04-26 19:35:00,155,0.0,No info,4878
Jet Airways,2019-06-06,Kolkata,Banglore,2025-04-26 14:05:00,2025-04-26 20:45:00,400,1.0,In-flight meal not included,10844
IndiGo,2019-03-15,Chennai,Kolkata,2025-04-26 22:05:00,2025-03-13 00:30:00,145,0.0,No info,6297
Air India,2019-06-12,Kolkata,Banglore,2025-04-26 09:10:00,2025-06-13 11:05:00,1555,2.0,No info,6117
Multiple carriers,2019-03-21,Delhi,Cochin,2025-04-26 07:10:00,2025-04-26 21:20:00,850,2.0,In-flight meal not included,5935
Multiple carriers,2019-05-27,Delhi,Cochin,2025-04-26 10:35:00,2025-04-26 19:15:00,520,1.0,No info,8625
IndiGo,2019-03-15,Mumbai,Hyderabad,2025-04-26 20:05:00,2025-04-26 21:35:00,90,0.0,No info,2754
IndiGo,2019-04-12,Kolkata,Banglore,2025-04-26 15:30:00,2025-04-26 18:05:00,155,0.0,No info,4174
Air India,2019-03-27,Mumbai,Hyderabad,2025-04-26 19:30:00,2025-04-26 20:45:00,75,0.0,No info,2575
Vistara,2019-03-06,Mumbai,Hyderabad,2025-04-26 15:40:00,2025-03-07 09:25:00,1065,1.0,No info,12395
Jet Airways,2019-05-06,Kolkata,Banglore,2025-04-26 10:20:00,2025-04-26 17:35:00,435,1.0,In-flight meal not included,7064
Air India,2019-05-18,Kolkata,Banglore,2025-04-26 19:00:00,2025-05-19 11:05:00,965,1.0,No info,6327
IndiGo,2019-03-21,Banglore,New Delhi,2025-04-26 07:10:00,2025-04-26 10:05:00,175,0.0,No info,6860
IndiGo,2019-04-09,Kolkata,Banglore,2025-04-26 15:15:00,2025-04-26 20:05:00,290,1.0,No info,4268
Jet Airways,2019-05-21,Delhi,Cochin,2025-04-26 19:10:00,2025-05-22 19:00:00,1430,2.0,No info,15129
IndiGo,2019-05-24,Delhi,Cochin,2025-04-26 18:35:00,2025-05-25 01:30:00,415,1.0,No info,7503
Jet Airways,2019-05-27,Delhi,Cochin,2025-04-26 18:15:00,2025-05-28 19:00:00,1485,1.0,In-flight meal not included,12898
Air India,2019-05-01,Kolkata,Banglore,2025-04-26 12:00:00,2025-05-02 11:10:00,1390,2.0,No info,11148
Air Asia,2019-05-18,Delhi,Cochin,2025-04-26 20:45:00,2025-05-19 07:10:00,625,1.0,No info,7452
Air India,2019-03-18,Kolkata,Banglore,2025-04-26 20:45:00,2025-04-26 23:20:00,155,0.0,No info,4435
Air India,2019-04-06,Delhi,Cochin,2025-04-26 06:10:00,2025-04-26 23:00:00,1010,1.0,No info,5022
Jet Airways,2019-05-12,Kolkata,Banglore,2025-04-26 08:25:00,2025-04-26 19:50:00,685,1.0,In-flight meal not included,8586
Jet Airways,2019-06-01,Banglore,Delhi,2025-04-26 18:55:00,2025-04-26 22:00:00,185,0.0,In-flight meal not included,7229
SpiceJet,2019-04-15,Delhi,Cochin,2025-04-26 15:45:00,2025-04-26 22:05:00,380,1.0,No info,5899
Jet Airways,2019-05-06,Kolkata,Banglore,2025-04-26 21:10:00,2025-05-07 10:05:00,775,1.0,No info,13584
Vistara,2019-05-21,Kolkata,Banglore,2025-04-26 20:20:00,2025-05-22 22:40:00,1580,1.0,No info,8452
Jet Airways,2019-03-06,Delhi,Cochin,2025-04-26 13:00:00,2025-03-07 04:25:00,925,1.0,No info,15764
Jet Airways,2019-06-12,Delhi,Cochin,2025-04-26 07:05:00,2025-04-26 12:35:00,330,1.0,No info,16289
SpiceJet,2019-05-18,Banglore,Delhi,2025-04-26 09:30:00,2025-04-26 12:20:00,170,0.0,No check-in baggage included,4319
Air India,2019-03-21,Mumbai,Hyderabad,2025-04-26 21:05:00,2025-04-26 22:25:00,80,0.0,No info,2050
Air India,2019-05-27,Chennai,Kolkata,2025-04-26 11:40:00,2025-04-26 13:55:00,135,0.0,No info,4667
IndiGo,2019-05-15,Kolkata,Banglore,2025-04-26 18:05:00,2025-04-26 23:30:00,325,1.0,No info,6218
Air India,2019-03-15,Kolkata,Banglore,2025-04-26 20:45:00,2025-04-26 23:20:00,155,0.0,No info,4435
IndiGo,2019-04-03,Banglore,Delhi,2025-04-26 13:00:00,2025-04-26 15:50:00,170,0.0,No info,4077
SpiceJet,2019-03-18,Mumbai,Hyderabad,2025-04-26 13:10:00,2025-04-26 14:30:00,80,0.0,No check-in baggage included,2385
Multiple carriers,2019-06-15,Delhi,Cochin,2025-04-26 04:55:00,2025-04-26 19:00:00,845,1.0,No info,10678
Jet Airways,2019-06-15,Delhi,Cochin,2025-04-26 07:05:00,2025-04-26 12:35:00,330,1.0,No info,14714
Trujet,2019-03-06,Mumbai,Hyderabad,2025-04-26 13:05:00,2025-04-26 16:20:00,195,1.0,No info,4140
Jet Airways,2019-05-12,Kolkata,Banglore,2025-04-26 16:30:00,2025-05-13 09:20:00,1010,1.0,In-flight meal not included,9663
Multiple carriers,2019-04-24,Delhi,Cochin,2025-04-26 07:10:00,2025-04-26 16:10:00,540,1.0,In-flight meal not included,6093
Jet Airways,2019-06-01,Banglore,Delhi,2025-04-26 07:10:00,2025-04-26 10:10:00,180,0.0,In-flight meal not included,7229
Air India,2019-06-12,Delhi,Cochin,2025-04-26 09:00:00,2025-04-26 19:15:00,615,1.0,No info,8372
SpiceJet,2019-06-24,Chennai,Kolkata,2025-04-26 08:20:00,2025-04-26 10:35:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-06-12,Delhi,Cochin,2025-04-26 11:30:00,2025-06-13 04:25:00,1015,1.0,In-flight meal not included,10262
Air India,2019-03-24,Banglore,New Delhi,2025-04-26 17:00:00,2025-03-19 22:55:00,1795,2.0,No info,8114
Jet Airways,2019-05-01,Kolkata,Banglore,2025-04-26 20:00:00,2025-05-02 10:05:00,845,1.0,In-flight meal not included,8586
Multiple carriers,2019-03-27,Delhi,Cochin,2025-04-26 08:55:00,2025-04-26 21:00:00,725,1.0,No info,8055
SpiceJet,2019-05-27,Kolkata,Banglore,2025-04-26 06:55:00,2025-04-26 09:30:00,155,0.0,No check-in baggage included,3841
IndiGo,2019-05-27,Mumbai,Hyderabad,2025-04-26 21:20:00,2025-04-26 22:50:00,90,0.0,No info,2227
Jet Airways,2019-06-27,Delhi,Cochin,2025-04-26 16:00:00,2025-06-28 19:00:00,1620,1.0,In-flight meal not included,10262
Multiple carriers,2019-05-15,Delhi,Cochin,2025-04-26 09:00:00,2025-04-26 21:00:00,720,1.0,No info,8073
Air India,2019-05-01,Delhi,Cochin,2025-04-26 17:15:00,2025-05-02 09:25:00,970,2.0,No info,8839
Air Asia,2019-03-01,Banglore,New Delhi,2025-04-26 23:25:00,2025-03-02 02:10:00,165,0.0,Red-eye flight,10873
Air Asia,2019-04-12,Kolkata,Banglore,2025-04-26 22:50:00,2025-04-13 01:20:00,150,0.0,No info,4409
Jet Airways,2019-06-18,Banglore,Delhi,2025-04-26 08:20:00,2025-04-26 11:20:00,180,0.0,No info,8016
IndiGo,2019-05-01,Kolkata,Banglore,2025-04-26 09:20:00,2025-04-26 14:15:00,295,1.0,No info,8443
Vistara,2019-04-15,Banglore,Delhi,2025-04-26 17:00:00,2025-04-26 19:35:00,155,0.0,No info,5613
Multiple carriers,2019-05-09,Delhi,Cochin,2025-04-26 07:10:00,2025-04-26 16:10:00,540,1.0,No info,6513
IndiGo,2019-03-06,Chennai,Kolkata,2025-04-26 22:05:00,2025-03-07 00:25:00,140,0.0,No info,5277
Air India,2019-06-27,Delhi,Cochin,2025-04-26 20:15:00,2025-06-28 19:15:00,1380,2.0,No info,13591
Multiple carriers,2019-06-03,Delhi,Cochin,2025-04-26 09:15:00,2025-04-26 19:00:00,585,1.0,No info,11622
Multiple carriers,2019-06-27,Delhi,Cochin,2025-04-26 13:00:00,2025-04-26 19:15:00,375,1.0,No info,14848
Multiple carriers,2019-06-15,Delhi,Cochin,2025-04-26 09:45:00,2025-04-26 22:30:00,765,1.0,No info,9646
Jet Airways,2019-06-09,Delhi,Cochin,2025-04-26 09:40:00,2025-04-26 19:00:00,560,2.0,No info,13014
Jet Airways,2019-05-15,Banglore,Delhi,2025-04-26 08:20:00,2025-04-26 11:20:00,180,0.0,No info,7229
Air India,2019-05-09,Kolkata,Banglore,2025-04-26 14:30:00,2025-05-10 12:30:00,1320,2.0,No info,15107
Multiple carriers,2019-06-09,Delhi,Cochin,2025-04-26 06:40:00,2025-04-26 19:00:00,740,1.0,No info,10877
Jet Airways,2019-06-06,Banglore,Delhi,2025-04-26 17:45:00,2025-04-26 20:45:00,180,0.0,No info,8016
Jet Airways,2019-03-12,Banglore,New Delhi,2025-04-26 18:55:00,2025-03-13 10:45:00,950,1.0,In-flight meal not included,11087
Jet Airways,2019-05-06,Kolkata,Banglore,2025-04-26 16:30:00,2025-04-26 22:35:00,365,1.0,No info,14781
SpiceJet,2019-04-01,Banglore,Delhi,2025-04-26 09:30:00,2025-04-26 12:20:00,170,0.0,No info,3971
Air India,2019-05-12,Mumbai,Hyderabad,2025-04-26 19:30:00,2025-04-26 20:45:00,75,0.0,No info,3625
Jet Airways,2019-05-09,Banglore,Delhi,2025-04-26 08:20:00,2025-04-26 11:20:00,180,0.0,No info,7229
IndiGo,2019-03-24,Kolkata,Banglore,2025-04-26 08:15:00,2025-04-26 13:00:00,285,1.0,No info,6303
Jet Airways,2019-05-27,Mumbai,Hyderabad,2025-04-26 02:55:00,2025-04-26 04:20:00,85,0.0,No info,5678
Vistara,2019-03-06,Mumbai,Hyderabad,2025-04-26 15:40:00,2025-03-07 16:45:00,1505,1.0,No info,12395
Air Asia,2019-05-01,Kolkata,Banglore,2025-04-26 22:50:00,2025-05-02 01:20:00,150,0.0,No info,4409
Jet Airways,2019-03-15,Banglore,New Delhi,2025-04-26 08:00:00,2025-03-16 08:15:00,1455,1.0,In-flight meal not included,10405
Air Asia,2019-06-06,Delhi,Cochin,2025-04-26 16:45:00,2025-06-07 07:10:00,865,1.0,No info,11410
Multiple carriers,2019-03-06,Delhi,Cochin,2025-04-26 08:00:00,2025-04-26 15:30:00,450,1.0,No info,15078
IndiGo,2019-06-03,Mumbai,Hyderabad,2025-04-26 09:10:00,2025-04-26 10:40:00,90,0.0,No info,4049
SpiceJet,2019-03-27,Kolkata,Banglore,2025-04-26 06:55:00,2025-04-26 09:35:00,160,0.0,No check-in baggage included,3815
Jet Airways,2019-06-12,Delhi,Cochin,2025-04-26 20:55:00,2025-06-13 04:25:00,450,1.0,In-flight meal not included,10262
IndiGo,2019-04-06,Kolkata,Banglore,2025-04-26 15:30:00,2025-04-26 18:05:00,155,0.0,No info,4174
Air Asia,2019-03-09,Delhi,Cochin,2025-04-26 16:45:00,2025-03-10 07:10:00,865,1.0,No info,8327
IndiGo,2019-06-24,Banglore,Delhi,2025-04-26 06:05:00,2025-04-26 08:50:00,165,0.0,No info,3943
SpiceJet,2019-06-27,Delhi,Cochin,2025-04-26 08:45:00,2025-04-26 13:15:00,270,1.0,No info,4812
Air India,2019-05-24,Delhi,Cochin,2025-04-26 09:45:00,2025-05-25 09:25:00,1420,1.0,No info,7480
Jet Airways,2019-06-12,Delhi,Cochin,2025-04-26 21:50:00,2025-06-13 04:25:00,395,1.0,No info,14714
SpiceJet,2019-05-03,Chennai,Kolkata,2025-04-26 09:45:00,2025-04-26 12:00:00,135,0.0,No check-in baggage included,3859
IndiGo,2019-06-21,Mumbai,Hyderabad,2025-04-26 06:25:00,2025-04-26 07:55:00,90,0.0,No info,4049
Jet Airways,2019-06-06,Kolkata,Banglore,2025-04-26 09:35:00,2025-06-07 09:45:00,1450,1.0,No info,12692
Jet Airways,2019-06-06,Delhi,Cochin,2025-04-26 09:00:00,2025-04-26 19:00:00,600,1.0,In-flight meal not included,10262
Jet Airways,2019-03-24,Kolkata,Banglore,2025-04-26 19:45:00,2025-03-25 12:00:00,975,1.0,In-flight meal not included,11134
Air India,2019-06-09,Kolkata,Banglore,2025-04-26 05:50:00,2025-06-10 08:55:00,1625,2.0,No info,12723
IndiGo,2019-04-24,Delhi,Cochin,2025-04-26 07:35:00,2025-04-26 12:10:00,275,1.0,No info,5073
IndiGo,2019-03-24,Banglore,New Delhi,2025-04-26 16:55:00,2025-04-26 19:45:00,170,0.0,No info,7303
IndiGo,2019-03-21,Delhi,Cochin,2025-04-26 07:35:00,2025-04-26 16:10:00,515,1.0,No info,6558
Jet Airways,2019-06-06,Delhi,Cochin,2025-04-26 07:05:00,2025-06-07 04:25:00,1280,1.0,In-flight meal not included,10262
Air India,2019-05-15,Kolkata,Banglore,2025-04-26 10:00:00,2025-05-16 05:25:00,1165,2.0,No info,14424
SpiceJet,2019-06-06,Delhi,Cochin,2025-04-26 06:05:00,2025-04-26 11:20:00,315,1.0,No info,5583
Vistara,2019-03-01,Banglore,New Delhi,2025-04-26 21:10:00,2025-03-02 00:05:00,175,0.0,No info,21730
Jet Airways,2019-05-09,Delhi,Cochin,2025-04-26 11:30:00,2025-05-10 12:35:00,1505,1.0,In-flight meal not included,12373
IndiGo,2019-06-03,Delhi,Cochin,2025-04-26 05:05:00,2025-04-26 12:10:00,425,1.0,No info,6818
Jet Airways,2019-04-03,Delhi,Cochin,2025-04-26 02:15:00,2025-04-04 04:25:00,1570,1.0,In-flight meal not included,5177
Air India,2019-04-01,Kolkata,Banglore,2025-04-26 09:50:00,2025-04-26 21:05:00,675,1.0,No info,8030
Air India,2019-03-09,Delhi,Cochin,2025-04-26 05:55:00,2025-03-10 19:15:00,2240,2.0,No info,14483
Jet Airways,2019-03-09,Delhi,Cochin,2025-04-26 16:00:00,2025-03-10 18:50:00,1610,1.0,In-flight meal not included,14053
IndiGo,2019-03-18,Chennai,Kolkata,2025-04-26 13:20:00,2025-04-26 15:35:00,135,0.0,No info,3858
Jet Airways,2019-05-03,Banglore,Delhi,2025-04-26 15:15:00,2025-04-26 18:10:00,175,0.0,In-flight meal not included,4544
Multiple carriers,2019-06-03,Delhi,Cochin,2025-04-26 06:00:00,2025-04-26 12:35:00,395,1.0,No info,13259
Air Asia,2019-05-21,Kolkata,Banglore,2025-04-26 07:35:00,2025-04-26 23:30:00,955,1.0,No info,5192
Jet Airways,2019-05-18,Delhi,Cochin,2025-04-26 21:50:00,2025-05-19 12:35:00,885,1.0,In-flight meal not included,12373
IndiGo,2019-05-06,Kolkata,Banglore,2025-04-26 19:20:00,2025-04-26 23:45:00,265,1.0,No info,3809
Air India,2019-06-24,Chennai,Kolkata,2025-04-26 11:40:00,2025-04-26 13:55:00,135,0.0,No info,4667
Vistara,2019-04-24,Banglore,Delhi,2025-04-26 11:30:00,2025-04-26 14:20:00,170,0.0,No info,5403
Jet Airways,2019-06-24,Delhi,Cochin,2025-04-26 05:30:00,2025-04-26 19:00:00,810,2.0,In-flight meal not included,10368
IndiGo,2019-06-12,Delhi,Cochin,2025-04-26 11:25:00,2025-06-13 01:30:00,845,1.0,No info,5883
Air India,2019-05-15,Kolkata,Banglore,2025-04-26 20:30:00,2025-05-16 20:25:00,1435,1.0,No info,10203
GoAir,2019-04-18,Banglore,Delhi,2025-04-26 11:40:00,2025-04-26 14:30:00,170,0.0,No info,4937
Jet Airways,2019-05-06,Kolkata,Banglore,2025-04-26 08:25:00,2025-04-26 19:50:00,685,1.0,In-flight meal not included,10844
IndiGo,2019-03-24,Kolkata,Banglore,2025-04-26 05:35:00,2025-04-26 11:20:00,345,1.0,No info,9319
Multiple carriers,2019-03-06,Delhi,Cochin,2025-04-26 19:00:00,2025-03-07 01:35:00,395,1.0,No info,15147
Air India,2019-05-18,Kolkata,Banglore,2025-04-26 09:25:00,2025-05-19 01:20:00,955,2.0,No info,11668
Air Asia,2019-04-21,Kolkata,Banglore,2025-04-26 22:50:00,2025-04-22 01:20:00,150,0.0,No info,5645
Air India,2019-05-18,Kolkata,Banglore,2025-04-26 14:15:00,2025-04-26 16:45:00,150,0.0,No info,6245
Jet Airways,2019-06-01,Delhi,Cochin,2025-04-26 18:25:00,2025-06-02 12:35:00,1090,2.0,No info,14237
SpiceJet,2019-05-18,Kolkata,Banglore,2025-04-26 22:20:00,2025-05-19 00:40:00,140,0.0,No info,3873
Jet Airways,2019-06-09,Delhi,Cochin,2025-04-26 15:00:00,2025-06-10 19:00:00,1680,1.0,In-flight meal not included,10262
Multiple carriers,2019-06-27,Delhi,Cochin,2025-04-26 10:00:00,2025-04-26 21:00:00,660,1.0,No info,13587
SpiceJet,2019-03-03,Kolkata,Banglore,2025-04-26 17:15:00,2025-04-26 19:45:00,150,0.0,No info,6251
Jet Airways,2019-05-18,Kolkata,Banglore,2025-04-26 20:00:00,2025-05-19 16:20:00,1220,1.0,In-flight meal not included,10844
Jet Airways,2019-04-06,Banglore,Delhi,2025-04-26 15:15:00,2025-04-26 18:10:00,175,0.0,No info,7229
Jet Airways,2019-05-09,Kolkata,Banglore,2025-04-26 14:05:00,2025-04-26 23:35:00,570,1.0,In-flight meal not included,10844
Air India,2019-06-21,Mumbai,Hyderabad,2025-04-26 15:00:00,2025-04-26 16:25:00,85,0.0,No info,3100
Jet Airways,2019-05-06,Banglore,Delhi,2025-04-26 15:15:00,2025-04-26 18:10:00,175,0.0,In-flight meal not included,3702
IndiGo,2019-03-06,Chennai,Kolkata,2025-04-26 14:40:00,2025-04-26 17:05:00,145,0.0,No info,7295
Jet Airways,2019-03-09,Delhi,Cochin,2025-04-26 10:45:00,2025-03-10 04:25:00,1060,2.0,No info,17282
IndiGo,2019-05-27,Banglore,Delhi,2025-04-26 08:30:00,2025-04-26 11:20:00,170,0.0,No info,4823
Jet Airways,2019-06-06,Delhi,Cochin,2025-04-26 15:00:00,2025-06-07 19:00:00,1680,1.0,In-flight meal not included,10262
Multiple carriers,2019-05-09,Delhi,Cochin,2025-04-26 13:00:00,2025-04-26 21:00:00,480,1.0,No info,13727
Jet Airways,2019-06-09,Delhi,Cochin,2025-04-26 14:00:00,2025-06-10 12:35:00,1355,1.0,In-flight meal not included,10262
Jet Airways,2019-03-27,Delhi,Cochin,2025-04-26 20:50:00,2025-03-28 04:25:00,455,1.0,No info,12242
IndiGo,2019-04-15,Delhi,Cochin,2025-04-26 08:35:00,2025-04-26 16:10:00,455,1.0,No info,6442
Jet Airways,2019-05-01,Kolkata,Banglore,2025-04-26 14:05:00,2025-05-02 12:00:00,1315,1.0,No info,14388
